,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
773,Product Development,24,Poland,Europe,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",20-25 hours,None  ,linkedin
774,Product Marketing,25,Puerto Rico,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",10-15 hours,english  ,linkedin
775,"Product Design,Product Marketing",20,Qatar,MENo,Employed, No- I have not ,"Email,WhatsApp",10-15 hours,None  ,referral
776,Product Design,23,Romania,Europe,Recently Graduated and Unemployed, No- I have not ,WhatsApp,20-25 hours,no  ,linkedin
777,Product Development,21,Romania,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn,WhatsApp",20-25 hours,None  ,referral
778,Product Design,29,Rwanda,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,no  ,referral
779,"Product Marketing,Product Design",22,Saudi Arabia,MENo,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,referral
780,Product Marketing,23,Saudi Arabia,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp,Instagram",10-15 hours,no  ,referral
781,Product Marketing,25,Saudi Arabia,MENo,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,arabic  ,referral
782,Product Development,22,Saudi Arabia,MENo,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,referral
783,Product Development,22,Saudi Arabia,MENo,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",20-25 hours,None  ,linkedin
784,"Product Development,Product Design",35,South Africa,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
785,Product Design,29,South Africa,Africa,Employed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,referral
786,"Product Design,Product Development,Product Growth ",22,South Africa,Africa,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
787,Product Development,33,South Africa,Africa,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,None  ,linkedin
788,Product Design,27,South Africa,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
789,"Product Marketing,Product Growth ",30,South Africa,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp,Instagram",20-25 hours,english  ,linkedin
790,"Product Growth ,Product Development,Product Design,Product Marketing",21,South Africa,Africa,Currently Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,no  ,instagram
791,Product Development,31,South Africa,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,referral
792,"Product Development,Product Design",20,South Africa,Africa,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,None  ,linkedin
793,"Product Development,Product Design",23,South Africa,Africa,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn,Instagram",20-25 hours,no  ,linkedin
794,"Product Design,Product Development",23,South Africa,Africa,Employed, No- I have not ,Email,15-20 hours,english  ,linkedin
795,"Product Development,Product Design",33,South Africa,Africa,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
796,"Product Development,Product Design",25,South Africa,Africa,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,referral
797,"Product Design,Product Development",23,South Africa,Africa,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,linkedin
798,Product Development,27,South Africa,Africa,University Student, No- I have not ,Email,20-25 hours,english  ,linkedin
799,Product Marketing,31,Spain,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,spanish  ,referral
800,"Product Design,Product Marketing",19,Spain,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Instagram",15-20 hours,spanish  ,linkedin
801,Product Design,22,Spain,Europe,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,"spanish,english ",linkedin
802,"Product Development,Product Design",22,Sri Lanka,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
803,"Product Design,Product Development,Product Marketing",28,Sri Lanka,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
804,Product Marketing,23,Sri Lanka,APAC,University Student, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",20-25 hours,no  ,linkedin
805,"Product Design,Product Development",25,Sri Lanka,APAC,University Student, No- I have not ,"WhatsApp,Email,LinkedIn,Instagram",10-15 hours,no  ,linkedin
806,Product Design,30,Sweden,Europe,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,english  ,referral
807,"Product Design,Product Development",36,Switzerland,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
808,"Product Marketing,Product Design,Product Development,Product Growth ",25,Tanzania,Africa,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,no  ,linkedin
809,"Product Design,Product Development",25,Tanzania,Africa,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,None  ,referral
810,"Product Development,Product Growth ",26,Trinidad and Tobago,Americas,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
811,"Product Design,Product Marketing",25,Tunisia,MENo,Currently Unemployed, Yes- I have completed multiple such courses ,Email,20-25 hours,english  ,linkedin
812,"Product Design,Product Growth ",27,Turkey,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,no  ,linkedin
813,"Product Marketing,Product Design",21,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",20-25 hours,"english,turkish ",referral
814,"Product Marketing,Product Development,Product Growth ,Product Design",21,Turkey,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,None  ,linkedin
815,Product Design,26,Turkey,Europe,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,referral
816,"Product Marketing,Product Development,Product Design,Product Growth ",23,Turkey,Europe,University Student, No- I have not ,"WhatsApp,Email,LinkedIn,Instagram",10-15 hours,english  ,linkedin
817,"Product Development,Product Growth ,Product Marketing",22,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,no  ,linkedin
818,"Product Development,Product Growth ",22,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,None  ,linkedin
819,Product Design,26,Turkey,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,english  ,linkedin
820,Product Growth,21,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,turkish  ,linkedin
821,"Product Marketing,Product Growth ",20,Turkey,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,None  ,linkedin
822,Product Design,25,Turkey,Europe,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,turkish  ,referral
823,Product Growth,22,Turkey,Europe,University Student, No- I have not ,"WhatsApp,LinkedIn,Email",15-20 hours,no  ,linkedin
824,Product Marketing,29,Turkey,Europe,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
825,Product Marketing,20,Turkey,Europe,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,linkedin
826,Product Design,21,Turkey,Europe,University Student, No- I have not ,"Email,LinkedIn,WhatsApp,Instagram",15-20 hours,arabic  ,linkedin
827,Product Development,21,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",20-25 hours,None  ,linkedin
828,Product Marketing,20,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,turkish  ,linkedin
829,Product Development,23,Turkey,Europe,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,"english,french ",linkedin
830,Product Marketing,24,Turkey,Europe,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Email",15-20 hours,english  ,linkedin
831,Product Development,22,Turkey,Europe,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,turkish  ,referral
832,Product Design,26,Turkey,Europe,Employed, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,linkedin
833,Product Development,22,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",20-25 hours,"english,turkish ",linkedin
834,Product Design,23,Turkey,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,no  ,linkedin
835,Product Design,30,Turkey,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
836,Product Design,30,Turkey,Europe,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
837,"Product Development,Product Growth ",29,Turkey,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn",10-15 hours,arabic  ,linkedin
838,Product Development,26,Turkey,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,english  ,referral
839,"Product Design,Product Development",24,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,english  ,referral
840,Product Development,21,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",15-20 hours,english  ,linkedin
841,Product Development,21,Turkey,Europe,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,referral
842,"Product Development,Product Growth ",21,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,arabic  ,linkedin
843,"Product Development,Product Design",22,Turkey,Europe,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,turkish  ,linkedin
844,Product Marketing,24,UAE,MENo,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,None  ,linkedin
845,"Product Development,Product Growth ",21,UAE,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
846,Product Growth,21,UAE,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,15-20 hours,None  ,referral
847,Product Marketing,24,UAE,MENo,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,google
848,"Product Development,Product Design",21,UAE,MENo,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,linkedin
849,Product Development,20,UAE,MENo,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
850,"Product Design,Product Development,Product Growth ,Product Marketing",22,UAE,MENo,University Student, No- I have not ,Email,15-20 hours,arabic  ,linkedin
851,"Product Marketing,Product Growth ",25,UAE,MENo,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,no  ,linkedin
852,"Product Growth ,Product Design",27,UAE,MENo,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,None  ,linkedin
853,"Product Design,Product Development",21,UAE,MENo,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",15-20 hours,english  ,linkedin
